City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,uaua,-9.8414,-39.4817,28.49,30,47,6.31,BR,1722973291
291,rosario do sul,-30.2583,-54.9142,22.15,84,100,3.91,BR,1722973291
292,kievka,50.2619,71.5514,22.02,50,10,4.52,KZ,1722973291
293,fomboni,-12.28,43.7425,25.36,72,0,4.78,KM,1722973292
294,hami,42.8,93.45,31.26,17,99,5.41,CN,1722973292
295,port lincoln,-34.7333,135.8667,9.68,80,8,4.96,AU,1722973292
296,amga,60.8953,131.9608,7.62,97,0,1.58,RU,1722973292
297,vernon,50.2581,-119.2691,29.05,33,1,1.54,CA,1722973292
298,malakal,9.5334,31.6605,22.16,96,100,1.44,SS,1722973292
299,alice springs,-23.7,133.8833,3.75,93,2,1.54,AU,1722973292
300,quellon,-43.1167,-73.6167,8.19,82,70,3.49,CL,1722973292
301,santarem,-2.4431,-54.7083,32.07,58,20,4.12,BR,1722973192
302,le port,-20.9373,55.2919,21.0,85,5,2.22,RE,1722973292
303,la sarre,48.8002,-79.1996,20.54,38,56,4.93,CA,1722973292
304,port douglas,-16.4833,145.4667,19.8,86,55,1.85,AU,1722973292
305,mukalla,14.5425,49.1242,28.28,75,3,1.89,YE,1722973292
306,vilyuchinsk,52.9306,158.4028,12.15,97,100,0.89,RU,1722973292
307,egilsstadir,65.2653,-14.3948,14.95,58,40,5.66,IS,1722973292
308,ciudad rio bravo,25.9833,-98.1,37.94,41,40,5.14,MX,1722973292
309,codrington,-38.2667,141.9667,7.01,97,61,4.81,AU,1722973292
310,saveh,35.0213,50.3566,35.63,13,30,2.23,IR,1722973292
311,north bend,43.4065,-124.2243,24.03,59,0,8.23,US,1722973292
312,limulunga,-15.0969,23.1376,18.39,13,0,2.15,ZM,1722973292
313,ciudad madero,22.2667,-97.8333,32.11,70,75,2.06,MX,1722973292
314,hengchun,22.0042,120.7439,28.62,78,100,3.15,TW,1722973293
315,al ain city,24.1917,55.7606,31.79,62,0,1.03,AE,1722973293
316,oamaru,-45.0784,170.9801,6.88,53,6,3.26,NZ,1722973293
317,baharly,38.4362,57.4316,32.09,16,0,2.92,TM,1722973293
318,yichun,47.7,128.9,18.39,95,86,0.53,CN,1722973293
319,al ghayzah,16.2079,52.176,24.41,93,74,5.03,YE,1722973293
320,anadyr,64.75,177.4833,4.28,80,100,6.0,RU,1722973293
321,tara,56.8944,74.371,15.98,94,100,1.33,RU,1722973293
322,mana,5.6592,-53.7767,29.04,67,9,3.96,GF,1722973293
323,stanley,54.868,-1.6985,16.77,67,20,3.09,GB,1722973293
324,parabel',58.6978,81.4825,13.19,95,73,2.83,RU,1722973293
325,alo,6.5486,4.2686,24.71,86,23,4.72,NG,1722973293
326,bikenibeu village,1.3673,173.1241,27.98,78,40,1.54,KI,1722973293
327,nong khai,17.9167,103.0833,24.39,90,100,2.48,TH,1722973293
328,moree,-29.4667,149.85,7.65,81,74,2.75,AU,1722973293
329,zadar,44.1197,15.2422,26.34,50,0,2.06,HR,1722973293
330,harstad,68.799,16.5293,20.66,66,2,0.86,NO,1722973293
331,la mira tumbiscatio,18.6833,-102.2833,32.1,54,100,1.31,MX,1722973293
332,baissa,7.2333,10.6333,22.62,97,98,0.85,NG,1722973294
333,nuevitas,21.5453,-77.2644,31.14,64,66,5.31,CU,1722973294
334,portales,34.1862,-103.3344,33.55,16,0,3.54,US,1722973294
335,torquay,50.4638,-3.5143,19.21,80,0,1.34,GB,1722973294
336,idritsa,56.3316,28.8988,15.36,93,39,1.19,RU,1722973294
337,lethem,3.3803,-59.7968,31.89,58,40,1.86,GY,1722973294
338,tura,25.5198,90.2201,24.55,95,100,2.62,IN,1722973294
339,kavieng,-2.5744,150.7967,27.55,79,93,5.75,PG,1722973294
340,brandon,27.9378,-82.2859,33.49,71,75,6.17,US,1722973294
341,lata,40.1629,-8.3327,20.6,94,72,1.69,PT,1722973294
342,pariaman,-0.619,100.12,25.03,88,70,1.96,ID,1722973294
343,rio guayabal de yateras,20.3667,-75.0167,27.47,79,100,1.82,CU,1722973294
344,chegdomyn,51.1167,133.0167,14.68,96,0,0.85,RU,1722973294
345,kolokani,13.5728,-8.0339,26.14,79,94,2.71,ML,1722973294
346,nangong,37.3581,115.3744,25.31,84,47,1.52,CN,1722973294
347,siofok,46.9041,18.058,22.74,44,30,1.45,HU,1722973294
348,tarfaya,27.9358,-12.9218,20.81,88,0,8.75,MA,1722973294
349,tambacounda,13.7539,-13.7586,32.03,66,20,2.06,SN,1722973294
350,ohara,35.25,140.3833,25.5,95,98,3.32,JP,1722973294
351,hadibu,12.65,54.0333,25.27,81,18,7.14,YE,1722973295
352,tazacorte,28.629,-17.9293,23.54,84,75,7.2,ES,1722973295
353,tomatlan,19.9333,-105.25,30.13,76,100,5.46,MX,1722973295
354,morehead city,34.7229,-76.726,28.0,91,100,5.14,US,1722973295
355,lib,8.3122,167.3766,28.45,75,100,3.82,MH,1722973295
356,krasnoshchekovo,51.6708,82.7289,15.58,86,69,2.36,RU,1722973295
357,kudahuvadhoo,2.6708,72.8944,27.89,75,99,2.07,MV,1722973295
358,nadi,-17.8,177.4167,15.0,88,20,2.57,FJ,1722973040
359,huilong,31.8111,121.655,27.37,90,8,3.87,CN,1722973295
360,dryden,49.7833,-92.7503,23.16,33,20,5.14,CA,1722973295
361,opuwo,-18.0607,13.84,19.4,26,0,2.34,NA,1722973295
362,obo,5.3998,26.4869,24.25,73,100,1.55,CF,1722973295
